customerId,DistinctItems,DistinctLocs,NetSpend,DistinctCities,DistinctState,DaysSinceCustContact,dillards_crd,t_email_read_Percent,Subscribed
220362069,0,0,0,0,0,676,N,100,N
225692457,0,0,0,0,0,167,Y,100,N
226360887,0,0,0,0,0,99,N,100,N
165172588,0,0,0,0,0,4619,Y,100,Y
219602070,0,0,0,0,0,749,N,100,Y
215687965,0,0,0,0,0,1041,N,100,N
221715815,0,0,0,0,0,550,N,100,N
226344690,0,0,0,0,0,101,N,100,N
210513086,0,0,0,0,0,6470,Y,100,Y
213408475,0,0,0,0,0,1231,N,100,N
225685542,0,0,0,0,0,169,N,100,N
206396749,0,0,0,0,0,1710,N,100,N
217463984,0,0,0,0,0,935,N,100,Y
225594054,0,0,0,0,0,178,N,86,N
179929466,0,0,0,0,0,4003,N,85,N
201266521,0,0,0,0,0,2035,N,81,N
225104750,0,0,0,0,0,227,N,81,N
180588732,0,0,0,0,0,4929,Y,75,N
151110993,0,0,0,0,0,4539,N,75,N
210253483,0,0,0,0,0,1440,N,73,N
193318689,0,0,0,0,0,2715,N,67,N
175777596,0,0,0,0,0,4178,N,67,N
195472833,0,0,0,0,0,2463,N,67,N
186523304,0,0,0,0,0,3464,Y,63,N
225819223,0,0,0,0,0,155,N,53,N
226317316,0,0,0,0,0,103,N,50,N
123750279,0,0,0,0,0,6470,Y,50,Y
213215278,0,0,0,0,0,1245,N,50,Y
224963284,0,0,0,0,0,242,N,50,Y
161123908,0,0,0,0,0,4898,N,50,N
197875736,0,0,0,0,0,2253,N,50,N
226239434,0,0,0,0,0,113,N,43,N
220285989,0,0,0,0,0,677,N,40,N
226030761,0,0,0,0,0,134,N,36,N
225615905,0,0,0,0,0,175,N,35,N
122577131,0,0,0,0,0,6277,N,33,N
196750259,0,0,0,0,0,2330,Y,33,N
226251749,0,0,0,0,0,111,N,33,N
226262110,0,0,0,0,0,109,N,33,N
148827361,0,0,0,0,0,5513,N,33,N
174489869,0,0,0,0,0,4269,N,33,N
201529604,0,0,0,0,0,2028,Y,31,N
214553917,0,0,0,0,0,1133,N,30,N
226211928,0,0,0,0,0,115,N,29,N
205582209,0,0,0,0,0,1756,N,29,N
226092139,0,0,0,0,0,129,N,27,N
209870220,0,0,0,0,0,1475,Y,27,N
211911499,0,0,0,0,0,1344,Y,25,N
226311670,0,0,0,0,0,104,N,25,N
215550024,0,0,0,0,0,1049,N,24,N
225619123,0,0,0,0,0,175,N,22,N
226309084,0,0,0,0,0,105,N,20,Y
225448562,0,0,0,0,0,193,N,17,N
128921392,0,0,0,0,0,6470,Y,17,N
189194716,0,0,0,0,0,3163,N,14,N
225604456,0,0,0,0,0,179,Y,13,Y
225551619,0,0,0,0,0,182,N,13,N
202266161,0,0,0,0,0,1979,N,13,N
225895963,0,0,0,0,0,148,N,12,Y
222402204,0,0,0,0,0,477,N,11,N
215902616,0,0,0,0,0,1028,N,11,N
225154274,0,0,0,0,0,222,N,11,N
195057487,0,0,0,0,0,2498,Y,11,N
224984666,0,0,0,0,0,239,N,11,N
226154995,0,0,0,0,0,122,N,10,N
226146605,0,0,0,0,0,122,N,10,N
214736312,0,0,0,0,0,1116,Y,10,Y
201091522,0,0,0,0,0,2043,N,8,N
225946565,0,0,0,0,0,144,N,8,N
186655897,0,0,0,0,0,3450,N,7,N
225322499,0,0,0,0,0,207,N,6,N
222400390,0,0,0,0,0,476,N,5,N
223997783,0,0,0,0,0,316,N,4,N
150073325,0,0,0,0,0,5311,N,0,N
189131409,0,0,0,0,0,3180,N,0,N
202716784,0,0,0,0,0,2040,N,0,N
215174029,0,0,0,0,0,1077,N,0,N
224822961,0,0,0,0,0,257,N,0,N
224927876,0,0,0,0,0,246,N,0,N
224974824,0,0,0,0,0,241,N,0,N
225139222,0,0,0,0,0,223,N,0,N
226287215,0,0,0,0,0,108,N,0,N
226352291,0,0,0,0,0,102,Y,0,N
121810765,0,0,0,0,0,6470,Y,0,Y
129293093,0,0,0,0,0,6470,N,0,Y
215736173,0,0,0,0,0,1039,N,0,Y
216842243,0,0,0,0,0,977,N,0,Y
224989782,0,0,0,0,0,239,N,0,Y
225099028,0,0,0,0,0,228,N,0,Y
225256721,0,0,0,0,0,213,N,0,Y
226126234,0,0,0,0,0,124,N,0,Y
218537410,0,0,0,0,0,846,Y,0,N
226360758,0,0,0,0,0,99,N,0,N
225325268,0,0,0,0,0,207,N,0,N
225422350,0,0,0,0,0,196,N,0,N
226124599,0,0,0,0,0,125,N,0,N
226123979,0,0,0,0,0,124,N,0,N
226227349,0,0,0,0,0,114,N,0,N
226295416,0,0,0,0,0,107,N,0,N
224754006,0,0,0,0,0,266,N,0,Y
226031632,0,0,0,0,0,135,N,0,N
225396974,0,0,0,0,0,199,N,0,Y
225857905,0,0,0,0,0,151,N,0,N
226153672,0,0,0,0,0,123,N,0,N
162034533,0,0,0,0,0,4392,N,0,N
224936257,0,0,0,0,0,244,N,0,Y
225945879,0,0,0,0,0,144,N,0,N
120783529,0,0,0,0,0,6470,N,0,N
226315877,0,0,0,0,0,104,N,0,N
213495704,0,0,0,0,0,1222,N,0,N
226308766,0,0,0,0,0,104,N,0,N
216653319,0,0,0,0,0,992,N,0,N
153308417,135,5,13634.9,4,3,5109,Y,100,N
119973740,103,6,12161.92,6,3,6470,Y,29,N
202980339,187,7,8564.93,5,4,1948,Y,84,N
223630877,221,4,8298.99,3,3,356,Y,53,N
127533010,84,7,8114.06,6,4,6470,Y,79,N
223524747,183,4,7483.77,4,2,370,N,98,N
211522080,31,2,6922.24,2,2,1374,N,5,N
224913795,133,2,6192.62,2,2,248,N,5,N
187845517,48,2,6170.91,2,2,3345,N,28,N
117418489,103,1,5562.21,1,1,6470,Y,2,N
116176589,177,13,5009.98,8,5,6470,Y,4,N
117590780,88,6,4775.54,6,2,6470,N,10,N
118526828,74,3,4678.67,3,2,6470,Y,11,N
116137137,9,2,3830.59,2,2,6470,Y,9,Y
116805766,49,2,3672.64,2,2,6169,Y,41,N
122683123,56,4,3647.08,3,3,5365,Y,96,N
142554625,60,1,3568.63,1,1,5858,Y,0,N
137755386,49,3,3507.66,3,2,6334,N,100,N
122624752,49,6,3401.67,6,3,6470,N,77,N
223977329,107,2,3209.4,1,1,320,Y,12,N
223560106,29,2,3112.82,2,2,363,N,10,Y
212273675,88,2,2934.8,2,1,1315,N,0,N
220002174,24,1,2830.05,1,1,710,N,0,N
118199846,53,1,2815.34,1,1,6470,Y,6,N
143009467,109,1,2814.78,1,1,6169,N,35,N
116181356,65,2,2805.67,2,2,6169,Y,22,N
220081018,105,1,2753.33,1,1,699,Y,0,N
143100063,30,2,2529.1,2,2,1605,N,27,Y
163468192,52,1,2494.79,1,1,4682,N,56,N
219746931,75,3,2477.14,3,1,738,Y,100,N
198793150,46,2,2435.36,2,1,2192,Y,3,N
165256171,24,4,2423.57,4,3,6470,N,100,N
126775868,84,1,2410.73,1,1,6470,N,12,N
218320996,37,2,2358.15,2,1,864,N,67,Y
203667691,45,4,2306.77,4,3,1915,N,100,N
217771428,59,1,2268.83,1,1,908,Y,0,Y
123584455,30,1,2254.26,1,1,6470,Y,10,N
194786738,42,3,2251.96,3,1,2708,Y,70,N
127856778,51,6,2235.91,5,2,6470,Y,50,N
222022775,13,3,2226.54,3,2,517,N,0,N
195646040,5,1,2200,1,1,2435,N,46,N
223831337,63,1,2173.08,1,1,335,N,8,N
128024997,40,2,2145.11,2,2,6470,Y,76,N
122245389,26,3,2062.38,3,3,6470,Y,14,N
146607050,39,5,2061.75,4,1,6470,Y,20,N
125860031,37,2,2022.69,2,2,6470,Y,32,N
121790594,21,3,1991.89,3,2,6470,Y,7,N
221056163,32,4,1963.38,4,2,618,N,76,N
226228811,9,1,1909.5,1,1,114,N,10,N
116041467,18,1,1888.89,1,1,6470,Y,24,N
200368149,9,2,1878.9,2,2,2092,N,16,N
221938468,23,3,1872.05,3,2,526,N,100,N
188958091,69,1,1854.11,1,1,3191,N,75,N
191000798,28,1,1850.52,1,1,2967,N,96,Y
223403617,26,2,1833.27,2,1,378,Y,9,N
214768985,23,2,1806.81,2,2,1112,N,100,N
223057646,8,1,1777.5,1,1,412,N,0,N
116232428,55,1,1771.48,1,1,6470,Y,20,N
120149538,11,2,1706.09,2,2,6470,Y,30,N
171286645,52,2,1689.78,2,2,4962,N,37,N
207745865,25,3,1684.58,2,2,1621,N,16,N
222804522,19,2,1652.3,2,2,435,Y,44,N
225440671,65,3,1651.88,3,2,195,Y,29,N
216850280,15,1,1645.61,1,1,976,N,94,N
217161176,42,1,1589.87,1,1,956,Y,3,N
206308243,43,2,1562.5,2,2,1717,Y,31,N
122692194,18,1,1501.36,1,1,3226,Y,0,N
223198748,23,2,1482.61,2,2,397,N,0,N
222052949,40,3,1480.27,1,1,517,Y,13,N
131741995,38,4,1461.75,2,2,6470,Y,24,Y
195971707,81,3,1449.91,1,1,2418,Y,19,Y
202057412,19,2,1433.08,2,2,1997,N,32,N
216505231,37,3,1394.33,3,2,1006,Y,10,N
155171834,65,2,1390.27,2,2,5026,N,21,N
213173061,31,1,1376.9,1,1,1250,N,4,N
201795153,9,2,1366.3,2,2,2003,N,35,N
212273977,25,2,1360.26,2,2,1316,Y,0,Y
212142670,43,2,1354.46,2,2,1326,Y,3,N
217069532,25,1,1349.67,1,1,959,Y,8,N
192766042,30,2,1340.12,2,2,2778,Y,99,Y
206597170,41,3,1337.91,3,2,1695,Y,55,N
223257108,21,2,1337.9,2,2,393,N,8,N
146412715,30,3,1324.75,3,3,5801,Y,19,N
184954958,22,3,1322.57,2,2,3597,N,12,N
183262510,27,1,1313.84,1,1,3723,N,24,Y
197082482,11,3,1313,3,2,2309,N,8,N
145616602,38,1,1281.13,1,1,5383,N,78,N
223454313,22,1,1236.07,1,1,375,N,3,N
218306503,38,1,1234.5,1,1,866,Y,3,N
217483424,27,4,1227.35,4,1,934,Y,6,N
120008483,15,3,1219.89,2,2,4963,N,5,N
175071508,8,3,1218.28,2,2,4229,N,16,N
205816694,7,2,1210.5,2,2,1745,Y,19,N
225952076,11,3,1205.49,3,2,143,N,0,N
225390966,14,2,1205,2,2,200,Y,43,N
130863434,17,2,1201.8,2,2,6470,N,11,N
223795003,12,3,1184.7,3,3,338,N,18,N
195366727,16,3,1137.1,3,3,2470,Y,7,N
224894474,25,2,1135.11,1,1,249,N,57,N
225398641,33,2,1134.95,2,1,199,Y,11,N
126265429,16,2,1124.69,2,2,6470,Y,47,N
223568884,19,2,1122.65,2,1,362,N,3,N
201146200,49,2,1118.41,2,1,2047,Y,0,N
216450726,22,2,1116.01,2,2,1007,N,27,N
121868239,31,2,1114.88,2,1,6470,N,100,N
225923292,6,1,1110,1,1,145,N,3,N
149118647,18,2,1108.2,2,2,5371,N,46,N
209119375,40,3,1107.19,3,2,1525,N,40,N
124267760,10,2,1101.19,2,2,6470,N,100,N
132389165,26,3,1098.35,3,1,1917,N,22,N
205422082,20,2,1096.84,2,1,1762,Y,55,N
201756742,12,2,1093.03,2,2,2008,N,42,N
168320529,34,2,1089.77,2,2,4567,Y,24,N
119698225,37,2,1075.19,2,1,4961,Y,69,N
134133584,27,2,1068.08,2,1,6470,N,32,N
204819363,6,1,1063,1,1,1806,Y,100,N
224690818,17,2,1058.26,2,2,272,N,14,N
120764284,12,2,1057.97,2,1,6470,Y,9,N
223556908,27,4,1055.92,4,3,364,Y,0,N
218384816,5,1,1024.4,0,0,860,Y,0,Y
179504733,53,4,1024.38,4,1,4031,N,8,N
223285937,18,2,1014.89,2,1,390,N,0,N
223587739,7,3,1013.7,3,2,360,N,0,N
135487964,37,1,1013.02,1,1,6470,Y,19,N
138508055,43,1,1006.71,1,1,6470,Y,38,Y
138597756,53,1,1004.46,0,0,6169,Y,4,N
225218522,15,2,1003.06,2,2,216,Y,2,N
118370849,22,1,976.05,1,1,4049,Y,11,N
166877514,15,2,969.23,2,2,4515,Y,9,N
150125464,15,4,954.28,4,2,5321,N,91,N
193256896,16,2,943.96,2,2,2722,N,5,N
219831764,13,2,939.98,2,1,728,N,36,N
224042740,16,2,931.47,2,2,313,N,11,N
225519968,3,1,929.75,1,1,186,N,62,N
212292924,23,2,915.62,2,2,1316,Y,88,N
222726946,29,3,913.47,2,1,444,Y,0,N
219504895,15,2,911.38,2,1,759,N,2,N
226243666,15,1,902.5,1,1,112,N,40,N
200337527,14,2,892.26,2,2,2094,N,4,N
212798103,15,2,887,2,2,1279,N,13,N
224665565,24,3,865.32,3,2,275,N,41,N
200552826,40,2,848.17,2,2,2078,N,0,N
197698203,10,1,835.89,1,1,2261,N,8,N
207258941,19,1,830.95,1,1,1655,Y,98,N
224025942,17,3,823.98,3,2,314,N,11,N
220670177,20,1,820.11,1,1,653,N,12,N
218138530,10,2,818.16,2,2,880,N,10,N
225451267,41,2,817.02,2,1,194,N,11,N
122673567,30,4,814.29,4,2,6470,Y,87,Y
212553932,12,2,806.39,2,2,1294,N,94,N
225567320,14,2,803.44,2,1,180,N,5,N
195692141,28,7,799.39,5,3,2431,N,0,N
216357328,16,2,796.64,2,2,1009,N,89,N
195820987,9,1,790.71,1,1,2407,N,33,N
225707463,4,1,786,1,1,166,N,2,N
224695780,15,1,784.25,1,1,274,Y,0,N
205649062,17,3,783.79,3,2,1752,N,2,N
200384055,16,3,780.99,3,1,2092,Y,39,Y
225509295,26,2,778.22,1,1,187,N,0,N
223714803,31,1,776.93,1,1,346,N,10,Y
220806670,10,1,771.2,1,1,643,N,38,N
222696272,8,3,769.15,3,3,446,N,0,N
136198228,26,2,768.3,2,2,797,N,0,N
151041468,21,1,766.7,1,1,5579,Y,22,N
224018350,17,2,760.69,2,2,315,Y,6,N
186011552,7,2,752.99,2,1,3513,N,0,Y
123480591,8,2,752.85,2,2,6470,N,13,N
179615676,13,2,751.97,2,2,4024,N,78,N
212127882,20,1,748.42,1,1,1329,N,5,N
116334047,14,3,748.31,3,3,6470,Y,97,N
226215561,17,1,743.31,1,1,115,N,15,N
214104976,10,1,740.18,1,1,1166,N,32,Y
201345610,8,2,738.99,2,2,2030,N,0,N
214139304,43,2,736.78,2,2,1162,Y,3,N
168547030,12,2,734.42,2,2,4451,N,77,N
225067820,17,1,731,1,1,229,N,21,N
187114000,5,1,727.99,1,1,3422,N,100,N
118998612,32,1,727.91,1,1,6470,Y,13,N
191116190,20,3,726.9,3,2,2960,Y,6,Y
217737098,18,3,724.56,2,1,915,Y,5,N
206743158,24,2,716.22,2,2,1686,Y,18,N
206334943,17,1,715.5,1,1,1714,N,5,Y
226337288,11,2,714.5,2,2,101,N,100,N
179492683,5,3,705.54,2,2,4031,N,16,N
225056339,21,2,705.35,2,1,232,N,0,N
125025278,12,1,696,1,1,6470,N,2,N
142143009,25,2,684.97,2,2,5035,N,50,N
123640744,23,2,684.35,2,2,6470,Y,4,N
223719762,14,2,683.27,2,2,346,N,21,N
223492282,16,1,680.48,1,1,370,N,0,N
171565110,25,2,668.27,1,1,4479,Y,45,N
181964071,9,1,660.85,1,1,3836,N,20,N
125589198,5,1,653,1,1,6470,Y,18,N
216215570,19,2,650.75,1,1,1015,N,2,N
213237282,18,1,650.49,1,1,1244,Y,2,Y
215681411,14,2,650.13,2,1,1042,N,14,N
225735223,2,1,648.5,1,1,165,N,2,N
200261297,27,2,645.15,2,2,2101,N,39,N
155761783,32,3,641.51,2,1,4983,Y,9,N
202724555,10,2,641.35,2,2,1951,N,94,N
206947718,28,1,640.29,1,1,1674,N,14,N
129549255,16,1,633.8,1,1,6470,N,0,N
193683669,18,1,632.5,1,1,2666,N,0,N
224724800,12,1,632.18,1,1,270,N,27,N
150438522,13,5,629.99,5,4,5244,N,2,N
161556993,55,3,629.81,3,1,4866,Y,6,N
203736942,5,3,629,3,2,1886,N,28,N
225634331,10,3,615.83,3,1,172,N,38,N
139717932,5,1,614.75,1,1,6182,N,15,N
226123600,10,1,608.97,1,1,125,N,0,N
222622279,23,1,608.89,1,1,453,N,11,N
118023428,16,4,606.32,4,2,6470,N,67,N
216138002,17,2,602.29,2,1,1019,N,12,N
225525135,15,3,602.16,3,3,185,N,67,N
225364270,11,1,600.06,1,1,202,N,5,N
223253018,12,2,597.55,2,2,393,N,70,N
225624005,4,1,594,1,1,174,N,0,N
148298459,20,2,581.77,2,2,5677,N,6,N
117333442,18,1,580.18,1,1,6470,Y,2,N
137970262,13,1,579.68,1,1,2222,Y,9,N
213665447,9,1,576.6,1,1,1203,N,3,Y
205980045,13,2,574.07,2,2,1738,N,7,N
121496621,23,1,572.34,1,1,6470,N,98,N
202108288,9,2,570.19,1,1,1994,Y,5,N
216521649,20,3,568.8,3,2,1005,Y,0,N
194759198,7,2,567,2,2,2540,N,83,N
226186018,6,1,564.99,1,1,118,N,29,N
178194204,17,1,563.17,1,1,4122,N,0,N
160194608,6,2,560.75,2,2,4927,Y,8,N
223441110,12,2,560.65,2,2,377,N,37,N
185887743,14,1,559.55,1,1,3527,N,0,N
157667968,1,1,558,1,1,4962,N,32,N
197436175,7,2,556.88,2,2,2285,Y,2,N
225423392,7,1,556,1,1,196,N,3,Y
118495492,13,4,550.75,4,1,6470,N,6,N
225815233,11,1,550.65,1,1,156,N,2,N
223376505,14,2,549.87,2,2,382,N,98,N
219236214,4,2,548.99,2,1,783,Y,0,N
143385413,12,4,548.9,4,2,6188,N,96,N
121888140,12,1,546.8,1,1,6470,Y,75,N
209127126,21,1,545.88,1,1,1523,Y,80,N
144471538,13,1,545.11,1,1,6072,Y,21,N
214778450,25,1,543.35,1,1,1110,N,3,N
216943567,13,1,542.39,1,1,968,Y,36,Y
203376118,14,2,542.18,2,1,1912,N,61,N
225150641,6,1,542,1,1,222,N,3,N
184817120,8,1,541,1,1,3611,N,50,N
168684198,11,1,540.98,1,1,6470,Y,0,N
224066174,5,1,540,1,1,311,N,44,N
214924140,9,1,538.32,1,1,1098,N,46,N
204277925,8,1,536.98,1,1,1847,N,78,N
220744175,5,3,536.89,3,2,649,N,10,N
226011990,18,1,536.7,1,1,138,N,0,N
226356831,3,1,536,1,1,99,N,100,N
127158055,26,2,534.04,2,1,6470,N,0,N
200757454,11,1,533.54,1,1,2064,N,93,N
226303235,9,2,532.46,2,2,106,N,100,N
123469706,30,3,530.79,3,1,6470,Y,0,N
206936499,9,1,525.7,1,1,1677,Y,8,Y
217505297,24,2,524.68,2,2,930,N,42,Y
225142236,19,3,522.45,3,1,222,N,35,N
173635155,14,2,522.35,2,2,4318,Y,60,N
122820981,11,5,522.18,5,2,6470,N,5,N
223709081,2,1,519,1,1,347,N,14,N
158968247,7,2,516.55,2,2,6470,N,33,N
225881666,5,1,515,1,1,148,N,0,N
195387965,11,3,514.45,2,2,2470,Y,100,N
225737864,4,3,513.86,3,2,164,N,4,N
163622193,8,1,510.38,1,1,4346,N,100,N
221919361,17,2,508.63,2,2,529,Y,70,Y
208786702,36,2,508.32,2,2,1544,Y,0,N
221074545,15,2,505.17,1,1,616,Y,100,N
223468399,17,2,504.4,2,2,374,N,9,N
134072873,9,4,503.65,4,2,6470,Y,31,Y
210247421,6,1,501.51,1,1,6470,Y,23,N
196485481,19,1,496.75,1,1,2355,Y,8,N
225950549,1,1,495,1,1,143,N,0,N
203046406,20,2,491.85,2,1,1942,Y,91,Y
195095807,15,2,491.36,2,2,2493,N,54,N
220247714,4,2,488.1,2,1,679,N,72,N
115822340,11,1,485.25,1,1,6470,N,100,N
216610951,7,1,484,1,1,995,N,5,Y
207990096,9,2,481.33,2,1,1604,N,0,Y
225581930,8,1,480.95,1,1,179,N,0,N
115696215,17,1,479.24,1,1,6470,Y,2,N
212558875,35,2,477.85,2,2,1293,N,69,N
183471892,13,1,472.15,1,1,3709,N,23,N
148128824,12,1,469.62,1,1,5684,N,27,N
188336468,19,4,469.52,3,2,3275,N,2,N
220052328,22,2,468.93,2,1,703,N,13,N
118207819,9,1,468.7,1,1,6470,Y,77,Y
210740196,7,2,465.53,2,2,2285,Y,72,N
147736672,4,1,463.5,1,1,5222,N,100,N
222912515,21,2,462.1,2,1,426,N,8,N
193776910,12,1,460.45,1,1,2653,Y,4,N
225628246,5,2,457,2,2,173,N,23,Y
144336440,22,1,452.41,1,1,6053,Y,13,Y
182378131,18,1,446.77,1,1,6470,N,45,N
185480119,10,1,445.74,1,1,3562,N,100,N
225257232,5,1,443.4,1,1,213,N,16,N
121297725,7,3,441.7,3,2,6470,Y,40,Y
225572784,4,2,440.54,2,2,180,N,74,N
193936364,10,2,436.94,2,1,2635,Y,92,N
225695803,2,1,436,1,1,168,N,3,N
200730059,13,2,435.92,2,2,2071,Y,6,N
203975886,5,2,435.36,2,2,1872,Y,9,N
214984691,13,1,435.2,1,1,1094,Y,20,N
192342451,19,1,432.08,1,1,2823,Y,4,N
204588365,7,2,431.27,1,1,1824,N,12,Y
226257352,11,1,431.23,1,1,110,N,0,N
